date,mostPreciseDate,note,noteEs,ans,ansEs,source1,source2,source3,otherNotes
2013-10-21,2013-10-21,Juan Domingo Viveros Cartes is intercepted by the Uruguayan air force,Juan Domingo Viveros Cartes es interceptado por la Fuerza Aérea uruguaya,,,https://www.abc.com.py/edicion-impresa/judiciales-y-policiales/narco-uruguayo-conecta-a-piloto-paraguayo-con-una-red-de-trafico-630832.html,,,
2013-10-11,2013-10-11,Sebastian Marset jailed as coauthor of a drug trafficking operations dismantled under Operation Falcon,"Sebastián Marset va a prisión, acusado de ser coautor de una operación de narcotráfico desmantelada en el marco de la Operación Halcón",Arrested in Uruguay,Detenido en Uruguay,https://www.montevideo.com.uy/Noticias/Cinco-procesados-por-narcotrafico-uc216000,,,
2013-12-20,2013-12-20,Uruguay legalizes the sale of recreational marijuana,Uruguay legaliza la venta de marihuana con fines recreativos,,,https://web.archive.org/web/20141227042435/http://www.parlamento.gub.uy/leyes/AccesoTextoLey.asp?Ley=19172&Anchor=,,,
2018-01-01,2018,Marset released from prison,Marset sale de prisión,Released from prison,Excarcelado,https://www.ultimahora.com/quien-es-el-uruguayo-sebastian-marset-n2988493,,,
2018-04-01,2018,Marset charged with homicide,Marset es acusado de homicidio,,,https://www.ultimahora.com/quien-es-el-uruguayo-sebastian-marset-n2988493,,,
2018-08-01,2018,"Marset enters Bolivia for the first time, suposedly making contacts for cocaine trafficking","Marset va por primera vez a Bolivia, supuestamente para hacer contactos para el tráfico de cocaína",Enters Bolivia,Ingresa a Bolivia,https://www.lanacion.com.py/mundo/2023/08/04/bolivia-buscan-a-hermanastro-de-marset-con-tres-identidades/,,,
2019-01-01,2019,"Sets up ~400 events as a concert promoter/works as a singer, writer and producer in Paraguay","Organiza ~400 eventos como promotor de conciertos/trabaja como cantante, compositor y productor en Paraguay",,,https://www.ultimahora.com/quien-es-el-uruguayo-sebastian-marset-n2988493,,,
2019-01-01,2019,Marset develops his criminal base in Paraguay,Marset consolida su base criminal en Paraguay,Based in Paraguay,Se establece,,,,
2019-04-01,2019-04,Gets Bolivian documents,Obtiene documentos bolivianos,,en Paraguay,"https://www.lanacion.com.py/mundo/2023/08/04/bolivia-buscan-a-hermanastro-de-marset-con-tres-identidades/
https://eldeber.com.bo/pais/sebastian-marset-ya-era-boliviano-hace-4-anos_339438",,,
2021-04-16,2021-04-16,Signs with Paraguayan football team Club Deportivo Capiatá,Firma un contrato con el equipo de fútbol paraguayo Club Deportivo Capiatá,,,https://www.ultimahora.com/quien-es-el-uruguayo-sebastian-marset-n2988493,,,
2021-05-29,2021-05-29,Plays his last game with Club Deportivo Capiatá,Juega su último partido con el Club Deportivo Capiatá,,,https://www.ultimahora.com/quien-es-el-uruguayo-sebastian-marset-n2988493,,,
2021-06-07,2021-06-07,Leaves Paraguay for Dubai,Sale de Paraguay hacia Dubái,,,http://odd.senado.gov.py/archivos/file/DEFISL~1.PDF,,,
2021-10-01,2021-10,Marset detained in Dubai for trying to enter the UAE with a false passport,Es detenido en Dubái por intentar entrar en los EAU con un pasaporte falso,Detained in Dubai,Detenido en Dubái,https://www.ultimahora.com/interpol-confirma-que-sebastian-marset-no-esta-detenido-dubai-n2990944,,,
2022-02-23,2022-02-23,"Operation A Ultranza PY brings charges against 24 people, including Marset. Eight are initially arrested, including Alberto Koube Ayala","La operación A Ultranza PY formula cargos contra 24 personas, entre ellas Marset. En un inicio, hay ocho detenidos, entre ellos Alberto Koube Ayala",,,https://www.ultimahora.com/operacion-ultranza-py-fiscalia-imputa-24-personas-y-ocho-ya-estan-detenidas-n2988306,http://odd.senado.gov.py/archivos/file/DEFISL~1.PDF,,
2022-03-11,2022-03-11,Interpol confirms Marset is no longer in Dubai,Interpol confirma que Marset salió de Dubái,,,https://www.ultimahora.com/interpol-confirma-que-sebastian-marset-no-esta-detenido-dubai-n2990944,,,
2022-05-10,2022-05-10,"Paraguayan Prosecutor Marcelo Pecci is assassinated on his honeymoon in Barú, Colombia","El fiscal paraguayo Marcelo Pecci es asesinado durante su luna de miel en Barú, Colombia",,,https://elpais.com/america-colombia/2022-05-11/los-ultimos-dias-del-fiscal-marcelo-pecci-asesinado-en-las-playas-de-colombia.html,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/marcelo-pecci-el-testimonio-de-su-esposa-testigo-de-su-asesinato-671254,https://www.ultimahora.com/el-crimen-la-mafia-que-conmociona-al-pais-lo-que-se-sabe-del-asesinato-del-fiscal-pecci-n3000812,
2022-09-01,2022-09,Marset returns to Bolivia,Marset regresa a Bolivia,Returns to Bolivia,Regresa a Bolivia,https://www.lanacion.com.py/mundo/2023/08/04/bolivia-buscan-a-hermanastro-de-marset-con-tres-identidades/,https://eldeber.com.bo/rfi/gran-operativo-en-bolivia-para-capturar-a-presunto-narcotraficante-uruguayo-sebastian-marset_334485,,
2023-07-30,2023-07-30,"Bolivian authories raid Marset's properties, but he escapes with his family","Las autoridades bolivianas allanan las propiedades de Marset, pero este escapa con su familia",Back on the run,De nuevo prófugo,https://eldeber.com.bo/rfi/gran-operativo-en-bolivia-para-capturar-a-presunto-narcotraficante-uruguayo-sebastian-marset_334485,,,
2023-08-23,2023-08-23,"Federico Ezequiel Santoro Vassallo, money-man and Marset advisor, arrested in Paraguay","Federico Ezequiel Santoro Vassallo, financista y consejero de Marset, es detenido en Paraguay",,,https://eldeber.com.bo/pais/capturan-al-hombre-de-confianza-de-sebastian-marset-en-paraguay_337395,https://www.abc.com.py/policiales/2023/08/24/a-ultranza-jueza-convoca-a-federico-santoro-supuesto-hombre-de-confianza-de-marset-para-imposicion-de-medidas/,https://www.ultimahora.com/federico-santoro-el-hombre-clave-dentro-de-la-estructura-de-marset,
